metric,coef,se,ci_lo,ci_hi,fe_col
Patent Mentions,-0.048052318966174824,0.013694246099670054,-0.07489304132152813,-0.02121159661082152,field_id
Policy Mentions,0.0038271244388947447,0.009777516108209641,-0.01533680713319615,0.02299105601098564,field_id
Facebook Mentions,0.007434839728023995,0.004152004142498904,-0.0007030883912738572,0.015572767847321846,field_id
X Mentions,1.707080537527257,0.3951153455639013,0.9326544602220105,2.4815066148325036,field_id
Citations,2.61809851735341,3.0234358729913953,-3.307835793709724,8.544032828416544,field_id
News Mentions,4.116462175865584,0.3484522844374818,3.4334956983681195,4.799428653363048,field_id
Attention Score,33.25881165603569,2.9018976748298178,27.571092213369248,38.94653109870213,field_id
