metric,coef,se,ci_lo,ci_hi,fe_col
Patent Mentions,-0.043962463555372276,0.016438632593398065,-0.07618218343843249,-0.011742743672312067,field_id
Policy Mentions,0.0038241587955625917,0.007969013790362597,-0.0117951082335481,0.01944342582467328,field_id
Facebook Mentions,0.2546729071988781,0.0359746563995729,0.1841625806557152,0.32518323374204094,field_id
X Mentions,3.158805197198384,0.4466674844910121,2.2833369275960003,4.034273466800768,field_id
Citations,3.788730003564085,3.2368906898331047,-2.5555757485088,10.133035755636971,field_id
News Mentions,4.193079893647484,0.21246753064210522,3.776643533588958,4.60951625370601,field_id
Attention Score,34.332880127373585,1.8154540739475253,30.774590142436434,37.89117011231073,field_id
