metric,coef,se,ci_lo,ci_hi,fe_col
Citations,-3.4969559017872838,6.045275015999411,-15.345694933146127,8.351783129571562,last_author_id
Patent Mentions,-0.06802806555771397,0.056273173610988936,-0.1783234858352523,0.042267354719824346,last_author_id
Policy Mentions,-0.0006191332638565556,0.012278361132789961,-0.02468472108412488,0.02344645455641177,last_author_id
Facebook Mentions,0.006500899270493806,0.006509124870069886,-0.006256985474843169,0.019258784015830782,last_author_id
X Mentions,3.1275117036758813,1.948235751686982,-0.691030369630603,6.946053776982366,last_author_id
News Mentions,4.054506590056435,0.6902431265632388,2.7016300619924865,5.407383118120383,last_author_id
Attention Score,33.04619569369347,5.7911044067358315,21.69563105649124,44.3967603308957,last_author_id
