metric,coef,se,ci_lo,ci_hi,fe_col
Citations,-2.857101939488236,6.939305733933746,-16.458141177998378,10.743937299021905,last_author_id
Patent Mentions,-0.019622936326250714,0.042867051299817445,-0.10364235687389291,0.06439648422139148,last_author_id
Policy Mentions,-0.003390691645941621,0.008056190022964742,-0.019180824090952515,0.012399440799069274,last_author_id
Facebook Mentions,0.047316996618132524,0.03687622217370545,-0.024960398842330166,0.11959439207859521,last_author_id
X Mentions,0.5582471097672289,1.5348486393690413,-2.450056223396092,3.5665504429305495,last_author_id
News Mentions,3.319257643780545,0.4090538274893088,2.5175121419015,4.12100314565959,last_author_id
Attention Score,26.669188617022673,3.4469580365058947,19.91315086547112,33.42522636857423,last_author_id
