metric,coef,se,ci_lo,ci_hi,fe_col
Policy Mentions,0.09292234466162659,0.012189674405515764,0.06903058282681569,0.11681410649643749,last_author_id
Patent Mentions,0.2898997804741855,0.06146181222149609,0.1694346285200532,0.41036493242831784,last_author_id
Facebook Mentions,0.5884914216481806,0.027152030379867045,0.5352734421036411,0.64170940119272,last_author_id
News Mentions,12.940798305375571,0.39393157797798295,12.168692412538725,13.712904198212417,last_author_id
X Mentions,40.18272811484209,2.9241026241638415,34.45148697148096,45.913969258203224,last_author_id
Citations,49.81924262127469,3.895788401217747,42.183497354887905,57.454987887661474,last_author_id
Attention Score,115.22122655462447,3.59365348764086,108.17766571884837,122.26478739040056,last_author_id
