metric,coef,se,ci_lo,ci_hi,fe_col
Patent Mentions,-0.010374208489338461,0.01596533988548376,-0.041666274664886635,0.020917857686209712,entity_name
Policy Mentions,0.010012318395865383,0.006888096556322428,-0.0034883508545265757,0.023512987646257342,entity_name
Facebook Mentions,0.020474089427560703,0.020471452128376474,-0.019649956744057187,0.06059813559917859,entity_name
X Mentions,1.878990757027137,0.5903120662951874,0.7219791070885697,3.036002406965704,entity_name
News Mentions,3.8729975411800663,0.25640009116750956,3.3704533624917477,4.3755417198683855,entity_name
Citations,4.411650957119912,6.107243668836492,-7.5585466337996134,16.381848548039436,entity_name
Attention Score,31.49917909101685,2.152912152626772,27.279471271868378,35.718886910165324,entity_name
