metric,coef,se,ci_lo,ci_hi
Policy Mentions,0.13905244945025935,0.04696846369562386,0.04699426060683659,0.2311106382936821
Patent Mentions,0.33805888193090183,0.05170896343723361,0.23670931359392397,0.43940845026787967
Facebook Mentions,0.7661644531303828,0.07423895452074682,0.620656102269719,0.9116728039910467
News Mentions,15.632570803032271,1.2020216767327407,13.2766083166361,17.988533289428442
X Mentions,51.61618506010311,6.646628784389803,38.588792642699104,64.64357747750712
Citations,64.39630961403222,5.141748982619774,54.318481608097464,74.47413761996698
Attention Score,140.0667981110389,11.078410737266289,118.35311306599698,161.78048315608083
