metric,coef,se,ci_lo,ci_hi
Policy Mentions,0.13221259473055555,0.04634820951582195,0.04137010407954453,0.22305508538156657
Patent Mentions,0.3184797002478977,0.0559317505285101,0.2088534692120179,0.4281059312837775
Facebook Mentions,0.7265263611531894,0.08401263241661155,0.5618616016166307,0.891191120689748
News Mentions,15.032791968818705,1.3677186854726988,12.352063345292216,17.713520592345194
X Mentions,49.017548873404245,6.834472040443733,35.621983674134526,62.41311407267396
Citations,61.186564033185775,6.3998216843736495,48.64291353181342,73.73021453455813
Attention Score,134.50647363628568,12.5650968142496,109.87888388035645,159.1340633922149
