metric,coef,se,ci_lo,ci_hi
Policy Mentions,0.13361564649814073,0.045530902299506085,0.044375077991108805,0.22285621500517266
Patent Mentions,0.3239060156079813,0.05228908413293066,0.22141941070743723,0.42639262050852544
Facebook Mentions,0.7327481329807626,0.07684868192544893,0.5821247164068827,0.8833715495546425
News Mentions,15.091372900549215,1.2711210728972562,12.599975597670593,17.582770203427838
X Mentions,49.379922892580225,6.477785282681751,36.683463738524,62.07638204663645
Citations,61.778873886355846,5.613216508040677,50.77696953059612,72.78077824211557
Attention Score,135.09191446795015,11.656025262325876,112.24610495379143,157.93772398210888
