metric,coef,se,ci_lo,ci_hi
Policy Mentions,0.12733870129155578,0.04503206933474694,0.03907584539545178,0.21560155718765978
Patent Mentions,0.3058677087463209,0.05616534141689255,0.19578363956921152,0.4159517779234303
Facebook Mentions,0.6964675963245823,0.0862429725654109,0.527431370096377,0.8655038225527877
News Mentions,14.544175605043904,1.420895123525757,11.75922116293342,17.329130047154386
X Mentions,47.00367953083276,6.737281064250647,33.79860864490149,60.20875041676403
Citations,58.836588573215224,6.708190556104481,45.68853508325044,71.98464206318
Attention Score,130.0169369952697,13.017944659570025,104.50176546251245,155.53210852802695
