metric,coef,se,ci_lo,ci_hi,fe_col
Policy Mentions,0.09701261346710827,0.027965197559813765,0.042200826249873286,0.15182440068434325,entity_name + last_author_id
Patent Mentions,0.27719971578276265,0.046081781927387974,0.18687942320508222,0.3675200083604431,entity_name + last_author_id
Facebook Mentions,0.554858413353676,0.06757903121296771,0.4224035121762593,0.6873133145310928,entity_name + last_author_id
News Mentions,12.554150857460066,0.8727129693189698,10.843633437594885,14.264668277325246,entity_name + last_author_id
X Mentions,38.1693266883687,6.076727530358152,26.25894072886672,50.07971264787068,entity_name + last_author_id
Citations,48.69929687814284,4.083062669702022,40.696494045526876,56.7020997107588,entity_name + last_author_id
Attention Score,111.63744417670031,8.414116391352067,95.14577604965027,128.12911230375036,entity_name + last_author_id
