metric,coef,se,ci_lo,ci_hi,fe_col
Citations,-11.704343879326059,6.731366937427961,-24.897823076684865,1.489135318032746,fe_university^fe_journal
Facebook Mentions,-0.013767838659115763,0.0596617688452752,-0.13070490559585515,0.10316922827762362,fe_university^fe_journal
Patent Mentions,-0.0032850670131473283,0.03263946941579254,-0.0672584270681007,0.06068829304180604,fe_university^fe_journal
Policy Mentions,-0.002386415950601612,0.017157351667081697,-0.03601482521808174,0.031241993316878516,fe_university^fe_journal
X Mentions,3.7010730394426212,1.2712290641231834,1.2094640737611817,6.192682005124061,fe_university^fe_journal
News Mentions,4.090064895364846,0.39775694916940746,3.3104612749928077,4.869668515736885,fe_university^fe_journal
Attention Score,33.66596115057274,3.335279280036592,27.12881376170102,40.203108539444464,fe_university^fe_journal
