metric,coef,se,ci_lo,ci_hi,fe_col
Policy Mentions,0.13085576575899865,0.02964369272941527,0.07275412800934472,0.1889574035086526,entity_name + field_id
Patent Mentions,0.30976375765206393,0.04328709817766254,0.22492104522384537,0.3946064700802825,entity_name + field_id
Facebook Mentions,0.6832978461135225,0.06750801554472738,0.5509821356458569,0.8156135565811882,entity_name + field_id
News Mentions,14.706222908090766,1.0088940019875379,12.728790664195191,16.68365515198634,entity_name + field_id
X Mentions,47.24294431365144,6.200360215169664,35.0902382919189,59.39565033538398,entity_name + field_id
Citations,59.80653630317978,4.988067812912779,50.02992338987074,69.58314921648883,entity_name + field_id
Attention Score,131.43468995464622,9.558444189688833,112.7001393428561,150.16924056643632,entity_name + field_id
