metric,coef,se,ci_lo,ci_hi,fe_col
Policy Mentions,0.09994616494031942,0.028273852570784085,0.04452941390158262,0.15536291597905622,entity_name + last_author_id
Patent Mentions,0.2845987506197441,0.04610252949170155,0.19423779281600906,0.37495970842347914,entity_name + last_author_id
Facebook Mentions,0.5683122981501332,0.06699142195503596,0.4370091111182627,0.6996154851820037,entity_name + last_author_id
News Mentions,12.746996438050202,0.8526051518330497,11.075890340457423,14.41810253564298,entity_name + last_author_id
X Mentions,39.054373008628524,6.15949645768472,26.981759951566474,51.12698606569057,entity_name + last_author_id
Citations,49.99661475406392,3.821882545644003,42.505724964601676,57.487504543526164,entity_name + last_author_id
Attention Score,113.44471846638127,8.262034215021387,97.25113140493936,129.6383055278232,entity_name + last_author_id
