metric,coef,se,ci_lo,ci_hi,fe_col
Citations,-1.4033119670317873,8.350829773951103,-17.770938323975948,14.964314389912374,entity_name + last_author_id
Patent Mentions,-0.006383400965518017,0.04502689486054844,-0.09463611489219295,0.08186931296115693,entity_name + last_author_id
Policy Mentions,-0.000610139478490632,0.003959946036204917,-0.00837163370945227,0.007151354752471006,entity_name + last_author_id
Facebook Mentions,0.002623347685928113,0.04207549596333511,-0.0798446244022087,0.08509131977406494,entity_name + last_author_id
X Mentions,0.9194061884464108,1.5054439120131482,-2.0312638790993596,3.8700762559921813,entity_name + last_author_id
News Mentions,3.2916616224941286,0.434285171614703,2.440462686129311,4.142860558858946,entity_name + last_author_id
Attention Score,26.576250264434687,3.6275930949242214,19.466167798383214,33.686332730486164,entity_name + last_author_id
