metric,metric_label,group,mean,se,n
attention_score,Attention Score,With PR,129.03634689345105,2.4741176348018725,18461
attention_score,Attention Score,Without PR,2.7286580305018595,0.03843307516179655,1210877
cited_by_count,Citations,With PR,81.42056274414062,2.570298433303833,18461
cited_by_count,Citations,Without PR,26.049644470214844,0.09500031918287277,1210877
news_mentions,News Mentions,With PR,14.354422569274902,0.275240957736969,18461
news_mentions,News Mentions,Without PR,0.20333196222782135,0.0036061762366443872,1210877
patent_mentions,Patent Mentions,With PR,0.38892799615859985,0.04174146428704262,18461
patent_mentions,Patent Mentions,Without PR,0.11597296595573425,0.0012656161561608315,1210877
policy_mentions,Policy Mentions,With PR,0.13861654698848724,0.011141102761030197,18461
policy_mentions,Policy Mentions,Without PR,0.014217793941497803,0.00026470873854123056,1210877
x_post_mentions,X Mentions,With PR,47.82313919067383,2.0562610626220703,18461
x_post_mentions,X Mentions,Without PR,2.7278971672058105,0.06254006177186966,1210877
facebook_mentions,Facebook Mentions,With PR,0.7373923659324646,0.01764543540775776,18461
facebook_mentions,Facebook Mentions,Without PR,0.05257924646139145,0.00043253586045466363,1210877
