metric,metric_label,group,mean,se,n
attention_score,Attention Score,With PR,34.60456273764259,2.145008866210558,789
attention_score,Attention Score,Without PR,1.3196170103753042,0.08895159489911911,15614
cited_by_count,Citations,With PR,18.90874481201172,1.5281144380569458,789
cited_by_count,Citations,Without PR,15.135903358459473,0.32901492714881897,15614
news_mentions,News Mentions,With PR,4.229404449462891,0.26192420721054077,789
news_mentions,News Mentions,Without PR,0.11803510040044785,0.010720093734562397,15614
patent_mentions,Patent Mentions,With PR,0.03041825070977211,0.008902039378881454,789
patent_mentions,Patent Mentions,Without PR,0.06750351935625076,0.0038325944915413857,15614
policy_mentions,Policy Mentions,With PR,0.016476552933454514,0.009556927718222141,789
policy_mentions,Policy Mentions,Without PR,0.010055079124867916,0.0014023564290255308,15614
x_post_mentions,X Mentions,With PR,2.35487961769104,0.3674427568912506,789
x_post_mentions,X Mentions,Without PR,0.5461764931678772,0.029065845534205437,15614
facebook_mentions,Facebook Mentions,With PR,0.012674271129071712,0.004723757971078157,789
facebook_mentions,Facebook Mentions,Without PR,0.004419111181050539,0.0006977760931476951,15614
